,Local,Data do Sorteio,Coluna 1,Coluna 2,Coluna 3,Coluna 4,Coluna 5,Coluna 6,Ganhadores Faixa 1,Ganhadores Faixa 2,Ganhadores Faixa 3,Rateio Faixa 1,Rateio Faixa 2,Rateio Faixa 3,Cidade,Valor Arrecadado,Estimativa para o próximo concurso,Valor Acumulado Próximo Concurso,Acumulado,Sorteio Especial
0,"Brasília, DF",1996-03-11,4,5,30,33,41,52,0,17,2016,0,39158.92,330.21,,0,0,0,SIM,SIM
1,"Belo Horizonte, MG",1996-03-18,9,37,39,41,43,49,1,65,4488,2307162.23,14424.02,208.91,PR,0,0,0,NAO,SIM
2,"Brasília, DF",1996-03-25,10,11,29,30,36,47,2,62,4261,391192.51,10515.93,153.01,RN,0,0,0,NAO,SIM
3,"Santo André, SP",1996-04-01,1,5,6,27,42,59,0,39,3311,0,15322.24,180.48,,0,0,0,SIM,SIM
4,"Brasília, DF",1996-04-08,1,2,6,16,19,46,0,98,5399,0,5318.1,96.53,,0,0,0,SIM,SIM
5,"Brasília, DF",1996-04-15,7,13,19,22,40,47,0,109,7147,0,7214.66,110.03,,0,0,0,SIM,SIM
6,"Brasília, DF",1996-04-22,3,5,20,21,38,56,0,100,5736,0,8746.05,152.48,,0,0,0,SIM,SIM
7,"Brasília, DF",1996-04-29,4,17,37,38,47,53,0,60,5262,0,16084.11,183.4,,0,0,0,SIM,SIM
8,"Brasília, DF",1996-05-06,8,43,54,55,56,60,0,17,2175,0,60043.79,469.31,,0,0,0,SIM,SIM
9,"Brasília, DF",1996-05-13,4,18,21,25,38,57,0,251,12590,0,6638.45,132.35,,0,0,0,SIM,SIM
10,"Brasília, DF",1996-05-20,15,25,37,38,58,59,1,148,9442,15591365.07,12706.05,199.16,RJ,0,0,0,NAO,SIM
11,"Brasília, DF",1996-05-27,4,16,19,20,27,43,0,108,6454,0,6791.17,113.64,,0,0,0,SIM,SIM
12,"Brasília, DF",1996-06-03,18,32,47,50,54,56,0,43,2934,0,20543.98,301.09,,0,0,0,SIM,SIM
13,"Brasília, DF",1996-06-10,2,16,23,27,47,53,0,85,5323,0,10458.19,167,,0,0,0,SIM,SIM
14,"Brasília, DF",1996-06-17,12,33,35,51,52,60,0,57,3931,0,17919.89,259.84,,0,0,0,SIM,SIM
15,"Brasília, DF",1996-06-24,20,32,34,49,58,60,0,31,3250,0,33307.13,317.7,,0,0,0,SIM,SIM
16,"Brasília, DF",1996-07-01,6,10,13,19,20,51,1,144,9376,6789869.08,7628.37,117.16,SP,0,0,0,NAO,SIM
17,"Brasília, DF",1996-07-08,23,27,36,37,42,56,0,52,4484,0,13763.52,159.61,,0,0,0,SIM,SIM
18,"Brasília, DF",1996-07-15,5,10,12,24,25,60,0,159,9250,0,5380.14,92.48,,0,0,0,SIM,SIM
19,"BRASÍLIA, DF",1996-07-22,11,25,28,30,33,51,0,72,5728,0,15486.97,194.67,,0,0,0,SIM,SIM
20,"Bauru, SP",1996-07-29,6,33,36,46,49,53,0,63,5030,0,17694.19,221.62,,0,0,0,SIM,SIM
21,"Brasília, DF",1996-08-05,1,9,31,38,46,56,0,47,4865,0,27212.9,262.9,,0,0,0,SIM,SIM
22,"Brasília, DF",1996-08-12,17,37,39,51,52,59,0,74,4897,0,20198.46,305.23,,0,0,0,SIM,SIM
23,,1996-08-19,1,8,14,28,33,43,1,227,13486,18661679.61,7897.31,132.93,,0,0,0,NAO,SIM
24,"Barretos, SP",1996-08-25,24,43,50,54,55,56,0,28,2741,0,26338.5,269.06,,0,0,0,SIM,SIM
25,"Ribeirão Preto, SP",1996-09-01,10,22,50,53,57,58,0,16,1823,0,52473.74,460.55,,0,0,0,SIM,SIM
26,"Brasília, DF",1996-09-08,13,17,20,33,44,51,0,99,6466,0,9306.24,142.49,,0,0,0,SIM,SIM
27,"Brasília, DF",1996-09-15,3,6,22,24,54,60,0,50,4895,0,19749.22,201.73,,0,0,0,SIM,SIM
28,"Brasília, DF",1996-09-22,3,8,14,43,56,58,1,44,5248,5401793.6,23083.15,193.53,RS,0,0,0,NAO,SIM
29,"Brasília, DF",1996-09-29,7,14,15,29,38,50,0,80,5885,0,11347.74,154.26,,0,0,0,SIM,SIM
30,"Brasília, DF",1996-10-06,17,19,28,45,48,56,0,103,5680,0,8793.04,159.45,,0,0,0,SIM,SIM
31,"Brasília, DF",1996-10-13,5,14,33,36,43,44,0,96,6876,0,11430.91,159.6,,0,0,0,SIM,SIM
32,"Brasília, DF",1996-10-20,5,17,33,39,42,49,1,128,8722,13997410.74,9545.76,140.09,MG,0,0,0,NAO,SIM
33,"Brasília, DF",1996-10-27,13,15,17,40,53,57,0,51,2627,0,13604.06,264.11,,0,0,0,SIM,SIM
34,"Brasília, DF",1996-11-03,4,16,21,23,54,57,0,39,3576,0,20051.18,218.68,,0,0,0,SIM,SIM
35,"São Bento do Sul, SC",1996-11-10,3,13,17,25,29,51,0,143,8548,0,6238.12,104.36,,0,0,0,SIM,SIM
36,"Brasília, DF",1996-11-17,6,7,22,38,52,60,0,47,3695,0,16848.61,214.32,,0,0,0,SIM,SIM
37,"Brasília, DF",1996-11-24,10,42,43,45,54,55,0,24,1999,0,38863.1,466.59,,0,0,0,SIM,SIM
38,"Brasília, DF",1996-12-01,12,16,37,45,52,56,0,73,4444,0,13459.05,221.09,,0,0,0,SIM,SIM
39,"Brasília, DF",1996-12-08,3,5,8,12,46,47,0,189,12117,0,7789.93,121.51,,0,0,0,SIM,SIM
40,"Brasília, DF",1996-12-15,12,26,35,38,39,47,1,148,10182,17019238.5,10114.7,147.03,BA,0,0,0,NAO,SIM
41,"Brasília, DF",1996-12-22,7,11,19,24,33,36,0,201,9580,0,3684.64,77.31,,0,0,0,SIM,SIM
42,"Brasília, DF",1996-12-29,2,6,17,25,26,58,0,75,5070,0,9738.03,144.06,,0,0,0,SIM,SIM
43,"Brasília, DF",1997-01-05,14,18,29,38,44,47,0,103,7742,0,7099.32,94.45,,0,0,0,SIM,SIM
44,"Brasília, DF",1997-01-12,7,30,37,44,53,55,0,33,3004,0,27201.47,298.82,,0,0,0,SIM,SIM
45,"Brasília, DF",1997-01-19,1,23,24,32,46,60,0,91,6263,0,9982.42,145.04,,0,0,0,SIM,SIM
46,"Brasília, DF",1997-01-26,3,17,25,35,48,56,0,210,10873,0,4458.44,85.94,,0,0,0,SIM,SIM
47,"Brasília, DF",1997-02-02,2,5,28,34,47,50,0,132,7454,0,7482.95,132.25,,0,0,0,SIM,SIM
48,"Brasília, DF",1997-02-09,7,13,33,35,43,55,1,155,9830,8405156.76,6916.34,108.85,RJ,0,0,0,NAO,SIM
49,"Brasília, DF",1997-02-16,6,16,21,44,57,58,0,31,2800,0,25241.25,278.91,,0,0,0,SIM,SIM
50,"Brasília, DF",1997-02-23,17,23,24,25,42,47,0,143,9361,0,7231.47,110.25,,0,0,0,SIM,SIM
51,"Brasília, DF",1997-03-02,15,30,38,46,58,59,0,77,6442,0,15544.23,185.43,,0,0,0,SIM,SIM
52,"Brasília, DF",1997-03-09,3,13,16,38,42,46,0,210,10941,0,6337.79,121.41,,0,0,0,SIM,SIM
53,"Brasília, DF",1997-03-16,5,9,18,21,36,56,2,207,13067,7469653.99,7033.61,111.2,BA,0,0,0,NAO,SIM
54,"Brasília, DF",1997-03-23,2,14,23,29,38,52,0,66,3840,0,10817.63,185.56,,0,0,0,SIM,SIM
55,"Brasília, DF",1997-03-30,2,7,20,35,51,59,0,48,2599,0,12142.2,223.81,,0,0,0,SIM,SIM
56,"Brasília, DF",1997-04-06,7,16,17,27,34,59,0,79,6173,0,10699.1,136.65,,0,0,0,SIM,SIM
57,"Brasília, DF",1997-04-13,12,27,30,37,44,49,1,65,5040,3631304.91,13601.07,175.06,SP,0,0,0,NAO,SIM
58,"Brasília, DF",1997-04-20,2,8,13,28,34,54,0,90,5351,0,7312.34,122.75,,0,0,0,SIM,SIM
59,"Brasília, DF",1997-04-27,3,14,15,20,21,38,0,129,7914,0,7111.47,115.69,,0,0,0,SIM,SIM
60,"Brasília, DF",1997-05-04,8,18,29,42,44,59,0,52,3866,0,18902.94,253.76,,0,0,0,SIM,SIM
61,"Brasília, DF",1997-05-11,6,8,13,24,31,52,0,119,8613,0,9968.7,137.46,,0,0,0,SIM,SIM
62,"Brasília, DF",1997-05-18,9,25,26,40,41,49,1,82,6359,13680019.57,16246.91,209.1,MG,0,0,0,NAO,SIM
