,NAME,Type,GEOCODE_INPUT,LAT,LNG
0,ESC MUL PROF ANTÔNIO SEVERIANO,Elem,"AV OURO PRETO, 2754, NATAL-RN",-5.870579900000001,-35.2148684
1,ESC MUL PROF ARNALDO MONTEIRO BEZERRA,Elem,"ARACITABA, 2993, NATAL-RN",-5.868883599999999,-35.1975655
2,ESC MUL PROF ASCENDINO DE ALMEIDA,Elem,"RUA JOAQUIM CARDOSO, , NATAL-RN",-5.8511146,-35.2406756
3,ESC MUL PROF CARLOS BELLO MORENO,Elem,"RUA ARAPIRACA, , NATAL-RN",-5.863614399999999,-35.2071375
4,ESC MUL PROF OTTO DE BRITO GUERRA,Elem,"RUA SERRA DA JUREMA, , NATAL-RN",-5.855494999999999,-35.2459094
5,ESC MUL PROFA JOSEFA BOTELHO,Elem,"RUA MANOEL CONGO, 318, NATAL-RN",-5.8911716,-35.1694197
6,ESC MUL SÃO JOSÉ,Elem,"RUA VEREADOR MANOEL CORINGA DE LEMOS,, 434, NATAL-RN",-5.885250600000001,-35.16906549999999
7,ESC MUL PROF ULISSES DE GOIS,Elem,"PADRE RAIMUNDO BRASIL, , NATAL-RN",-5.827906899999999,-35.1955392
8,ESC MUL 4º CENTENÁRIO,Elem,"AV.FLORIANO PEIXOTO, 295, NATAL-RN",-5.781941799999999,-35.2009315
9,ESC MUL HENRIQUE CASTRICIANO,Elem,"RUA DECIO FONSECA, 633, NATAL-RN",-5.7699561,-35.2007078
10,ESC MUL JOÃO XXIII,Elem,"RUA DOS PAJEUS, 1875, NATAL-RN",-5.806911299999999,-35.2275749
11,ESC MUL JUVENAL LAMARTINE,Elem,"RUA PRESIDENTE SÁRMENTO, 1156, NATAL-RN",-5.8086022,-35.2149542
12,ESC MUL MONSENHOR JOAQUIM HONÓRIO,Elem,"RUA PTE MASCARENHAS, 768, NATAL-RN",-5.8043008,-35.2233681
13,ESC MUL PROF ANTÔNIO CAMPOS E SILVA,Elem,"RUA JOÃO XXIII, 1821, NATAL-RN",-5.8003143,-35.1833135
14,ESC MUL PROFA LAURA MAIA,Elem,"RUA DO MOTOR, 707, NATAL-RN",-5.7823026,-35.1934469
15,ESC MUL PROFA MARECI GOMES DOS SANTOS,Elem,"TRAVESSÁ OCIDENTAL DE BAIXO, 333, NATAL-RN",-5.787914199999999,-35.2145288
16,ESC MUL SANTOS REIS,Elem,"RUA DECIO FONSECA, S/N, NATAL-RN",-5.7705692,-35.1996735
17,ESC MUL CELESTINO PIMENTEL,Elem,"PERNAMBUCO, 145, NATAL-RN",-5.825702,-35.2360386
18,ESC MUL CHICO SÁNTEIRO,Elem,"RUA DA CRUZ, , NATAL-RN",-5.7983391,-35.2415525
19,ESC MUL DJALMA MARANHÃO,Elem,"RUA SANTA MARIA MADALENA, 2, NATAL-RN",-5.7740037,-35.2843184
20,ESC MUL ESTUDANTE EMMANUEL BEZERRA,Elem,"RUA MIRA MANGUE, 1187, NATAL-RN",-5.8487059,-35.2550139
21,ESC MUL FERREIRA ITAJUBÁ ENS DE 1º GRAU,Elem,"RUA DOS PEGAS, , NATAL-RN",-5.8004965,-35.2293638
22,ESC MUL NOSSA SRA DAS DORES,Elem,"RUA RIO POTENGI, 3556, NATAL-RN",-5.7911326,-35.243556
23,ESC MUL PREF MÁRIO LIRA,Elem,"AVENIDA ANTÔNIO BASILIO, 1,24, NATAL-RN",-5.804564099999999,-35.2351855
