X,Y,Name,description,altitudeMode
-35.2685832604766,-5.85228343494236,FIM 33,,clampToGround
-35.2685833442956,-5.85228335112333,FIM 33A,,clampToGround
-35.2589832991362,-5.86530002765357,FIM 33B,,clampToGround
-35.2685832604766,-5.85228343494236,FIM 38,,clampToGround
-35.2641499880701,-5.83553337492049,FIM 411,,clampToGround
-35.1901500206441,-5.79291667789221,FIM 57,,clampToGround
-35.2685832604766,-5.85228343494236,INICIO 33,,clampToGround
-35.2685833442956,-5.85228335112333,INICIO 33A,,clampToGround
-35.2589832991362,-5.86530002765357,INICIO 33B,,clampToGround
-35.2685832604766,-5.85228343494236,INICIO 38,,clampToGround
-35.2641487307847,-5.83553169853985,INICIO 41,,clampToGround
-35.1901500206441,-5.79291667789221,INICIO 57,,clampToGround
-35.2543833106756,-5.84493326023221,P03 I 41,,clampToGround
-35.2525832969695,-5.84398333914578,P04 I 41,,clampToGround
-35.2503999788314,-5.84233336150646,P05 I 41,,clampToGround
-35.2467000391334,-5.84096669219434,P06 I 41,,clampToGround
-35.2445166371763,-5.837083440274,P07 I 41,,clampToGround
-35.2661666739732,-5.85103344172239,P1 I 33,,clampToGround
-35.2661666739732,-5.85103344172239,P1 I 33A,,clampToGround
-35.2587333507836,-5.8632833417505,P1 I 33B,,clampToGround
-35.2661666739732,-5.85103344172239,P1 I 40,,clampToGround
-35.2597499918193,-5.84255003370345,P1 I 41,,clampToGround
-35.1920833066106,-5.79085003584623,P1 I 57,,clampToGround
-35.2574333176017,-5.86083331145346,P10 I 33A,,clampToGround
-35.2608334366232,-5.84831669926643,P10 I 33B,,clampToGround
-35.2556499838829,-5.86021673865616,P10 I 40,,clampToGround
-35.2375166583806,-5.82546662539244,P10 I 41,,clampToGround
-35.1869000215083,-5.79139997251332,P10 I 57,,clampToGround
-35.2341167069972,-5.85789998061955,P100 V 33A,,clampToGround
-35.2375832945108,-5.8253166731447,P100 V 40,,clampToGround
-35.2353999763727,-5.85714996792376,P101 V 33A,,clampToGround
-35.2381000388414,-5.82664998248219,P101 V 40,,clampToGround
-35.2373999822885,-5.85591673851013,P102 V 33A,,clampToGround
-35.240583261475,-5.83231673575938,P102 V 40,,clampToGround
-35.239766696468,-5.85450002923608,P103 V 33A,,clampToGround
-35.241616666317,-5.83346656523645,P103 V 40,,clampToGround
-35.2417332585901,-5.85329999215901,P104 V 33A,,clampToGround
-35.2427832596004,-5.8347833622247,P104 V 40,,clampToGround
-35.2436999883503,-5.83578332327306,P105 V 40,,clampToGround
-35.244666673243,-5.85318331606686,P106 V 33A,,clampToGround
-35.2444500010461,-5.83661673590541,P106 V 40,,clampToGround
-35.2454333659261,-5.85108331404626,P107 V 33A,,clampToGround
-35.2464500069618,-5.84071666002274,P107 V 40,,clampToGround
-35.2218166831881,-5.86958326399326,P108 V 33,,clampToGround
-35.2467666752636,-5.85638335905969,P108 V 33A,,clampToGround
-35.2463666908443,-5.84308337420225,P108 V 40,,clampToGround
-35.2227833680809,-5.86803336627781,P109 V 33,,clampToGround
-35.2486833650619,-5.85656667128205,P109 V 33A,,clampToGround
-35.2456166781485,-5.84444995969534,P109 V 40,,clampToGround
-35.2556499838829,-5.86021673865616,P11 I 33A,,clampToGround
-35.2589166630059,-5.84729997441173,P11 I 33B,,clampToGround
-35.2538499701768,-5.85930000990629,P11 I 40,,clampToGround
-35.2364000212401,-5.82356669940054,P11 I 41,,clampToGround
-35.1886166352779,-5.78928337432444,P11 I 57,,clampToGround
-35.2253333106637,-5.8664833009243,P110 V 33,,clampToGround
-35.2503667026758,-5.85736664012074,P110 V 33A,,clampToGround
-35.245533362031,-5.84573331288993,P110 V 40,,clampToGround
-35.2253333106637,-5.8664833009243,P111 V 33,,clampToGround
-35.2529999613762,-5.85878326557577,P111 V 33A,,clampToGround
-35.2476166840643,-5.84681667387486,P111 V 40,,clampToGround
-35.2278332971036,-5.86498335935175,P112 V 33,,clampToGround
-35.2554333116859,-5.85998330265284,P112 V 33A,,clampToGround
-35.2500334382057,-5.84804998710752,P112 V 40,,clampToGround
-35.2509333193302,-5.84698330610991,P113 V 33,,clampToGround
-35.2292999625206,-5.86363337002695,P113 V 331,,clampToGround
-35.2575000375509,-5.86056668311357,P113 V 33A,,clampToGround
-35.2509333193302,-5.84698330610991,P113 V 40,,clampToGround
-35.2514499798417,-5.84594998508692,P114 V 33,,clampToGround
-35.2316666767001,-5.85936656221747,P114 V 331,,clampToGround
-35.2580833341926,-5.85944996215403,P114 V 33A,,clampToGround
-35.2514499798417,-5.84594998508692,P114 V 40,,clampToGround
-35.2524166647345,-5.8440166991204,P115 V 33,,clampToGround
-35.2341167069972,-5.85789998061955,P115 V 331,,clampToGround
-35.2586334384978,-5.85815001279116,P115 V 33A,,clampToGround
-35.2524166647345,-5.8440166991204,P115 V 40,,clampToGround
-35.2541166823357,-5.84466663189232,P116 V 33,,clampToGround
-35.2353999763727,-5.85714996792376,P116 V 331,,clampToGround
-35.2594165597111,-5.85666666738689,P116 V 33A,,clampToGround
-35.2541166823357,-5.84466663189232,P116 V 40,,clampToGround
-35.2373999822885,-5.85591673851013,P117 V 33,,clampToGround
-35.2601499762386,-5.85526663810015,P117 V 33A,,clampToGround
-35.2558833360672,-5.84614997729659,P117 V 40,,clampToGround
-35.2552499994636,-5.84748337045312,P118 I 33,,clampToGround
-35.239766696468,-5.85450002923608,P118 V 331,,clampToGround
-35.2609833050519,-5.85395000874996,P118 V 33A,,clampToGround
-35.2552499994636,-5.84748337045312,P118 V 40,,clampToGround
-35.2529666852206,-5.85179996676743,P119 I 33,,clampToGround
-35.2417332585901,-5.85329999215901,P119 V 331,,clampToGround
-35.2619834337384,-5.85175001062453,P119 V 33A,,clampToGround
-35.2529666852206,-5.85179996676743,P119 V 40,,clampToGround
-35.2558833360672,-5.84614997729659,P12 I 33,,clampToGround
-35.2538499701768,-5.85930000990629,P12 I 33A,,clampToGround
-35.2558833360672,-5.84614997729659,P12 I 33B,,clampToGround
-35.2521666325629,-5.85848336108029,P12 I 40,,clampToGround
-35.2372333500534,-5.82165000960231,P12 I 41,,clampToGround
-35.1917999982834,-5.78324999660254,P12 I 57,,clampToGround
-35.2630666270852,-5.849599968642,P120 V 33A,,clampToGround
-35.2519166842103,-5.85393332876265,P120 V 40,,clampToGround
-35.2649000007659,-5.85020002909005,P121 V 33A,,clampToGround
-35.2503999788314,-5.85676666349173,P121 V 40,,clampToGround
-35.2663666661829,-5.85093336179852,P122 V 33A,,clampToGround
-35.2529999613762,-5.85878326557577,P122 V 40,,clampToGround
-35.2554333116859,-5.85998330265284,P123 V 40,,clampToGround
-35.2575000375509,-5.86056668311357,P124 V 40,,clampToGround
-35.2580833341926,-5.85944996215403,P125 V 40,,clampToGround
-35.2586334384978,-5.85815001279116,P126 V 40,,clampToGround
-35.2594165597111,-5.85666666738689,P127 V 40,,clampToGround
-35.2601499762386,-5.85526663810015,P128 V 40,,clampToGround
-35.2609833050519,-5.85395000874996,P129 V 40,,clampToGround
-35.2521666325629,-5.85848336108029,P13 I 33A,,clampToGround
-35.2552499994636,-5.84748337045312,P13 I 33B,,clampToGround
-35.2503166627139,-5.85666666738689,P13 I 40,,clampToGround
-35.2358166407794,-5.82038333639503,P13 I 41,,clampToGround
-35.1931666675955,-5.78108335845172,P13 I 57,,clampToGround
-35.2630666270852,-5.849599968642,P130 V 40,,clampToGround
-35.2649000007659,-5.85020002909005,P131 V 33,,clampToGround
-35.2649000007659,-5.85020002909005,P131 V 40,,clampToGround
-35.2663666661829,-5.85093336179852,P132 V 33,,clampToGround
-35.2663666661829,-5.85093336179852,P132 V 40,,clampToGround
-35.2501500304788,-5.85741668008268,P14 I 33A,,clampToGround
-35.2539333701134,-5.84998344071209,P14 I 33B,,clampToGround
-35.2517499681562,-5.85395000874996,P14 I 40,,clampToGround
-35.2334333304316,-5.82126670517027,P14 I 41,,clampToGround
-35.1937166880816,-5.77841673977673,P14 I 57,,clampToGround
-35.2486833650619,-5.85656667128205,P15 I 33A,,clampToGround
-35.2529666852206,-5.85179996676743,P15 I 33B,,clampToGround
-35.2528500091285,-5.85175001062453,P15 I 40,,clampToGround
-35.2309667039663,-5.82220003008842,P15 I 41,,clampToGround
-35.1954666618258,-5.77743337489665,P15 I 57,,clampToGround
-35.2463333308697,-5.85601673461497,P16 I 33A,,clampToGround
-35.2519166842103,-5.85393332876265,P16 I 33B,,clampToGround
-35.2539000101388,-5.84978336468339,P16 I 40,,clampToGround
-35.2281666453928,-5.82319999113679,P16 I 41,,clampToGround
-35.1971166394651,-5.77671663835645,P16 I 57,,clampToGround
-35.2441333327442,-5.855149962008,P17 I 33A,,clampToGround
-35.2503999788314,-5.85676666349173,P17 I 33B,,clampToGround
-35.254783295095,-5.84806666709483,P17 I 40,,clampToGround
-35.225133318454,-5.8242666721344,P17 I 41,,clampToGround
-35.2034666854888,-5.77189997769892,P17 I 57,,clampToGround
